,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0
2693,2693,-0.1360868415882015,-0.1,1,272.0,952.0,1.0,1256.0,1,0.47446751620457905
2694,2694,0.4761235859877406,0.5,0,266.0,617.0,0.0,727.0,1,0.3077413164069668
2695,2695,0.5007694373663258,0.5,0,282.0,977.0,0.0,1311.0,1,0.4690487286128767
2696,2696,0.2911365324959023,0.3,0,330.0,587.0,0.0,993.0,1,0.9782921411770156
2697,2697,0.7741347106484069,0.8,0,255.0,535.0,0.0,260.0,1,0.945834300774342
2698,2698,-0.7212031971297392,-0.7,1,391.0,610.0,1.0,819.0,1,0.4491863956484282
2699,2699,-0.5201841061354866,-0.5,1,427.0,517.0,1.0,526.0,1,0.7380382018159511
2700,2700,0.2027810893192925,0.2,0,321.0,729.0,0.0,1880.0,1,0.1417548992785579
2701,2701,0.948791026425923,0.9,0,463.0,800.0,0.0,297.0,1,0.9913201408872169
2702,2702,0.7232783819850033,0.7,0,445.0,758.0,0.0,1197.0,1,0.5540333098778889
2703,2703,0.8308614109303867,0.8,0,370.0,921.0,0.0,939.0,1,0.701366557207406
2704,2704,0.27251945296462443,0.3,0,481.0,892.0,0.0,1157.0,1,0.4138427470614334
2705,2705,-0.19037470507965515,-0.2,1,326.0,603.0,1.0,1311.0,1,0.6472913881233358
2706,2706,-0.13041908548120662,-0.1,1,324.0,668.0,1.0,2428.0,1,0.10361267261370512
2707,2707,0.26683401413106056,0.3,0,422.0,898.0,0.0,1750.0,1,0.3733956927757769
2708,2708,-0.34734277223180343,-0.3,1,372.0,770.0,1.0,2008.0,1,0.11158258142380055
2709,2709,-0.03863535655112882,-0.0,1,319.0,562.0,1.0,3459.0,1,0.8025875330828695
2710,2710,-0.12017006103399375,-0.1,1,386.0,923.0,1.0,1371.0,1,0.14821763992919987
2711,2711,0.3739290945207929,0.4,0,372.0,817.0,0.0,641.0,1,0.8737830222203032
2712,2712,0.8502059760673775,0.9,0,361.0,633.0,0.0,1346.0,1,0.19901089997202814
2713,2713,-0.16389883760275858,-0.2,1,434.0,608.0,1.0,3168.0,1,0.3065904039662395
2714,2714,0.5621479933239784,0.6,0,305.0,876.0,0.0,1009.0,1,0.8766032405282377
2715,2715,0.9404970684827993,0.9,0,257.0,970.0,0.0,513.0,1,0.3663172098312153
2716,2716,-0.2123276588030274,-0.2,1,255.0,963.0,1.0,522.0,1,0.8980535559146529
2717,2717,-0.5921801006967728,-0.6,1,384.0,799.0,1.0,587.0,1,0.8698299380598625
2718,2718,-0.5654877664321152,-0.6,1,441.0,671.0,1.0,808.0,1,0.34219183553956345
2719,2719,-0.016117921628567622,-0.0,1,253.0,777.0,1.0,1030.0,1,0.9888908567877954
2720,2720,-0.5783290218399049,-0.6,1,271.0,553.0,1.0,756.0,1,0.748253827293996
2721,2721,0.4104029896571233,0.4,0,484.0,945.0,0.0,551.0,1,0.6521039342130996
2722,2722,-0.1644849752126798,-0.2,1,295.0,902.0,1.0,773.0,1,0.17795482994604178
2723,2723,0.20071279534345177,0.2,0,258.0,973.0,0.0,1029.0,1,0.4419925584330535
2724,2724,-0.1465987703249354,-0.1,1,468.0,520.0,1.0,1162.0,1,0.8742170743753586
2725,2725,0.6938096250427843,0.7,0,389.0,503.0,0.0,708.0,1,0.260770104822973
2726,2726,-0.11695397631907944,-0.1,1,499.0,742.0,1.0,1559.0,1,0.6905109517810204
2727,2727,-0.5033541539505526,-0.5,1,451.0,577.0,1.0,332.0,1,0.7661294549058192
2728,2728,-0.531967087155812,-0.5,1,420.0,732.0,1.0,888.0,1,0.5542432716649006
2729,2729,-0.877162123811261,-0.9,1,326.0,749.0,1.0,775.0,1,0.7482803416986182
2730,2730,0.47159579579536337,0.5,0,478.0,898.0,0.0,1104.0,1,0.4652994548146179
2731,2731,0.9215314169721076,0.9,0,318.0,731.0,0.0,791.0,1,0.8192717085249952
2732,2732,-0.15606042565549338,-0.2,1,377.0,591.0,1.0,552.0,1,0.8691442103078457
2733,2733,0.41028298811290864,0.4,0,379.0,784.0,0.0,797.0,1,0.4240340285797557
2734,2734,-0.3747160746110376,-0.4,1,276.0,970.0,1.0,2174.0,1,0.5542321520594585
2735,2735,0.673935546280577,0.7,0,280.0,540.0,0.0,1020.0,1,0.4887219334288695
2736,2736,0.9254412967347747,0.9,0,346.0,640.0,0.0,594.0,1,0.6502428440724478
2737,2737,0.24143748401151943,0.2,0,284.0,802.0,0.0,924.0,1,0.16572541176121547
2738,2738,0.44348920821172144,0.4,0,441.0,766.0,0.0,1133.0,1,0.12175700253538006
