,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
135,135,0.7832071249380756,0.8,0,278.0,909.0,0.0,293.0,1,0.4087673947257162,0.4087673947257162
136,136,-0.2583736810261006,-0.3,1,408.0,917.0,0.0,635.0,0,0.0613125230200548,0.0613125230200548
137,137,-0.2837215331465004,-0.3,1,443.0,988.0,0.0,179.0,0,0.13829026409721146,0.13829026409721146
138,138,-0.33937630679645214,-0.3,1,333.0,581.0,1.0,96.0,1,0.1173413181361388,0.1173413181361388
139,139,0.42118737055392974,0.4,0,262.0,818.0,0.0,130.0,1,0.32977187439781114,0.32977187439781114
140,140,-0.3345599393511114,-0.3,1,430.0,827.0,1.0,143.0,1,0.028471061128002795,0.028471061128002795
141,141,0.018856697685733614,0.0,0,261.0,841.0,0.0,198.0,1,0.30954930567254796,0.30954930567254796
142,142,0.7617578126320126,0.8,0,322.0,898.0,0.0,160.0,1,0.0953890589411267,0.0953890589411267
143,143,-0.4261351115407521,-0.4,1,437.0,948.0,1.0,315.0,1,0.043979487679637774,0.043979487679637774
144,144,-0.2556390200294989,-0.3,1,484.0,845.0,0.0,241.0,0,0.16817341260220653,0.16817341260220653
145,145,-0.47568739774917956,-0.5,1,371.0,744.0,1.0,175.0,1,0.20034622813286262,0.20034622813286262
