,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1832,1832,-0.789564478627141,-0.8,1,288.0,902.0,1.0,280.0,1
1833,1833,0.13636199656635228,0.1,0,300.0,777.0,0.0,973.0,1
1834,1834,0.9490211711083407,0.9,0,459.0,652.0,0.0,179.0,1
1835,1835,-0.29292938243324507,-0.3,1,295.0,903.0,1.0,472.0,1
1836,1836,0.8070278796121118,0.8,0,372.0,741.0,0.0,527.0,1
1837,1837,-0.21947998933135593,-0.2,1,380.0,901.0,1.0,2319.0,1
1838,1838,-0.9879486904979324,-1.0,1,469.0,944.0,1.0,287.0,1
1839,1839,-0.42817101232959587,-0.4,1,355.0,558.0,1.0,687.0,1
1840,1840,0.911138437833648,0.9,0,331.0,932.0,0.0,257.0,1
1841,1841,0.2007097432424214,0.2,0,409.0,928.0,0.0,783.0,1
1842,1842,0.2897034381450567,0.3,0,364.0,906.0,0.0,670.0,1
1843,1843,-0.8707928397513243,-0.9,1,319.0,821.0,1.0,1290.0,1
1844,1844,-0.7028250375378335,-0.7,1,292.0,683.0,1.0,1045.0,1
1845,1845,0.960141060736579,1.0,0,371.0,719.0,0.0,300.0,1
1846,1846,-0.27977832646096856,-0.3,1,261.0,911.0,1.0,498.0,1
1847,1847,-0.045361353914072255,-0.0,1,265.0,756.0,1.0,689.0,1
1848,1848,-0.3769851878258095,-0.4,1,403.0,583.0,1.0,254.0,1
1849,1849,0.3649409140497517,0.4,0,317.0,782.0,0.0,651.0,1
1850,1850,0.44850592747359874,0.4,0,274.0,949.0,0.0,267.0,1
1851,1851,0.22833576755576335,0.2,0,313.0,971.0,0.0,456.0,1
1852,1852,0.47218745162554865,0.5,0,409.0,876.0,0.0,385.0,1
1853,1853,0.46419233489899625,0.5,0,296.0,527.0,0.0,277.0,1
1854,1854,-0.7615099260507059,-0.8,1,410.0,989.0,1.0,281.0,1
1855,1855,0.43919081583058817,0.4,0,251.0,896.0,0.0,243.0,1
1856,1856,-0.946158865031296,-0.9,1,317.0,956.0,1.0,577.0,1
1857,1857,-0.48272860215390456,-0.5,1,479.0,730.0,1.0,391.0,1
1858,1858,0.5934141147353935,0.6,0,315.0,928.0,0.0,207.0,1
1859,1859,-0.08920393177628716,-0.1,1,407.0,828.0,0.0,325.0,0
1860,1860,-0.014335447893639941,-0.0,1,414.0,723.0,0.0,533.0,0
1861,1861,-0.4353568554829723,-0.4,1,483.0,907.0,1.0,480.0,1
1862,1862,0.7719292933475963,0.8,0,414.0,602.0,0.0,444.0,1
1863,1863,0.7566348788373602,0.8,0,264.0,859.0,0.0,247.0,1
1864,1864,0.7792731521032854,0.8,0,427.0,925.0,0.0,338.0,1
1865,1865,-0.3489600769600323,-0.3,1,380.0,703.0,1.0,1537.0,1
1866,1866,-0.11695094709647025,-0.1,1,333.0,910.0,1.0,1157.0,1
1867,1867,-0.34045960347438275,-0.3,1,259.0,785.0,1.0,836.0,1
1868,1868,-0.6920687655912168,-0.7,1,414.0,712.0,1.0,274.0,1
1869,1869,-0.5453971127217803,-0.5,1,438.0,818.0,1.0,184.0,1
1870,1870,-0.6719659782792591,-0.7,1,416.0,926.0,1.0,248.0,1
1871,1871,0.45704762051646886,0.5,0,416.0,713.0,0.0,381.0,1
1872,1872,-0.29323920985303986,-0.3,1,319.0,589.0,1.0,1202.0,1
1873,1873,-0.7812039049037365,-0.8,1,458.0,667.0,1.0,195.0,1
1874,1874,0.10826776746268552,0.1,0,286.0,951.0,0.0,353.0,1
1875,1875,-0.004534015347127607,-0.0,1,362.0,914.0,0.0,864.0,0
1876,1876,0.3591111229991779,0.4,0,328.0,837.0,0.0,855.0,1
1877,1877,-0.7694403830579046,-0.8,1,423.0,725.0,1.0,522.0,1
1878,1878,0.9483592959997984,0.9,0,410.0,963.0,0.0,357.0,1
1879,1879,0.8104880632332216,0.8,0,429.0,647.0,0.0,264.0,1
1880,1880,-0.159069999678507,-0.2,1,294.0,669.0,0.0,2267.0,0
1881,1881,0.436532961494952,0.4,0,275.0,652.0,0.0,493.0,1
1882,1882,0.018710948128667138,0.0,0,388.0,965.0,0.0,567.0,1
1883,1883,-0.2717443927834018,-0.3,1,336.0,981.0,1.0,333.0,1
1884,1884,-0.7377798342502362,-0.7,1,418.0,701.0,1.0,761.0,1
1885,1885,0.6657588612583971,0.7,0,450.0,902.0,0.0,698.0,1
1886,1886,0.2558898007205881,0.3,0,383.0,739.0,0.0,658.0,1
1887,1887,-0.9362476176663965,-0.9,1,388.0,934.0,1.0,328.0,1
1888,1888,0.9354355542609603,0.9,0,378.0,551.0,0.0,241.0,1
1889,1889,-0.5209418672529886,-0.5,1,283.0,954.0,1.0,173.0,1
1890,1890,-0.23005687647435247,-0.2,1,402.0,980.0,1.0,3178.0,1
1891,1891,-0.1965554811858361,-0.2,1,255.0,712.0,1.0,2033.0,1
1892,1892,0.9539661007638602,1.0,0,407.0,775.0,0.0,328.0,1
1893,1893,-0.2956144040131832,-0.3,1,308.0,944.0,1.0,298.0,1
1894,1894,0.49375238152712075,0.5,0,321.0,931.0,0.0,248.0,1
1895,1895,0.7538017207251166,0.8,0,356.0,649.0,0.0,205.0,1
1896,1896,-0.8014712134585731,-0.8,1,441.0,675.0,1.0,374.0,1
1897,1897,0.4594480582282765,0.5,0,466.0,626.0,0.0,188.0,1
1898,1898,-0.7595290981355602,-0.8,1,347.0,921.0,1.0,452.0,1
1899,1899,-0.2127603656539787,-0.2,1,318.0,953.0,1.0,419.0,1
1900,1900,-0.699224790907442,-0.7,1,361.0,614.0,1.0,275.0,1
1901,1901,-0.21800049181593995,-0.2,1,496.0,549.0,1.0,1325.0,1
1902,1902,0.1456617617857241,0.1,0,449.0,687.0,0.0,394.0,1
1903,1903,0.030172559971700874,0.0,0,334.0,840.0,1.0,966.0,0
1904,1904,-0.4134551885850135,-0.4,1,463.0,635.0,1.0,552.0,1
1905,1905,0.8044763760436147,0.8,0,472.0,687.0,0.0,331.0,1
1906,1906,0.9357775453217161,0.9,0,316.0,707.0,0.0,427.0,1
1907,1907,-0.43124919376645243,-0.4,1,433.0,921.0,1.0,246.0,1
1908,1908,0.5912346766095746,0.6,0,269.0,550.0,0.0,221.0,1
1909,1909,0.4360231146344016,0.4,0,471.0,598.0,0.0,541.0,1
1910,1910,-0.722522440520881,-0.7,1,251.0,504.0,1.0,325.0,1
1911,1911,-0.4067053006607326,-0.4,1,283.0,642.0,1.0,505.0,1
1912,1912,0.2211971535634596,0.2,0,499.0,541.0,0.0,520.0,1
1913,1913,0.7564692011571479,0.8,0,432.0,865.0,0.0,493.0,1
1914,1914,-0.710526647662943,-0.7,1,390.0,912.0,1.0,168.0,1
1915,1915,-0.42234779860894456,-0.4,1,295.0,953.0,1.0,492.0,1
1916,1916,0.517042813828029,0.5,0,437.0,778.0,0.0,345.0,1
1917,1917,-0.5722684494482395,-0.6,1,473.0,745.0,1.0,512.0,1
1918,1918,0.29046191064131444,0.3,0,435.0,621.0,0.0,624.0,1
1919,1919,0.30039591862475357,0.3,0,459.0,940.0,0.0,401.0,1
1920,1920,0.34693475020535813,0.3,0,334.0,576.0,0.0,280.0,1
1921,1921,-0.4922385928229911,-0.5,1,316.0,823.0,1.0,411.0,1
1922,1922,-0.10980067976733521,-0.1,1,478.0,971.0,1.0,1361.0,1
1923,1923,0.8084908359979952,0.8,0,291.0,647.0,0.0,272.0,1
1924,1924,0.7455945273542177,0.7,0,356.0,850.0,0.0,214.0,1
1925,1925,0.07053524241023101,0.1,0,321.0,520.0,0.0,1749.0,1
1926,1926,0.08067728457247303,0.1,0,475.0,939.0,0.0,3586.0,1
1927,1927,-0.015688128605012785,-0.0,1,255.0,624.0,0.0,1891.0,0
1928,1928,-0.6853111327898365,-0.7,1,357.0,565.0,1.0,198.0,1
1929,1929,-0.9444284220026318,-0.9,1,477.0,961.0,1.0,422.0,1
